Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
55,Braxton Garrett*,25,MIA,NL,3.8,9,7,0.563,3.66,31,30,1,0,0,0,159.2,154,68,65,20,29,0,156,11,0,4,659,128,3.68,1.146,8.7,1.1,1.6,8.8,5.38,
56,Brady Singer,26,KCR,AL,0.3,8,11,0.421,5.52,29,29,0,0,0,0,159.2,182,102,98,20,49,0,133,8,0,3,702,81,4.29,1.447,10.3,1.1,2.8,7.5,2.71,
57,Josiah Gray,25,WSN,NL,3.1,8,13,0.381,3.91,30,30,0,0,0,0,159,152,72,69,22,80,1,143,9,0,9,698,109,4.93,1.459,8.6,1.2,4.5,8.1,1.79,AS
58,Clarke Schmidt,27,NYY,AL,0.7,9,9,0.5,4.64,33,32,1,0,0,0,159,169,91,82,24,46,0,149,11,2,11,694,93,4.42,1.352,9.6,1.4,2.6,8.4,3.24,
59,Jon Gray,31,TEX,AL,2.1,9,8,0.529,4.12,29,29,0,1,0,0,157.1,149,75,72,22,54,1,142,9,0,4,656,104,4.47,1.29,8.5,1.3,3.1,8.1,2.63,
60,Brayan Bello,24,BOS,AL,3.2,12,11,0.522,4.24,28,28,0,0,0,0,157,165,77,74,24,45,0,132,6,0,1,668,107,4.54,1.338,9.5,1.4,2.6,7.6,2.93,
61,Hunter Brown,24,HOU,AL,0,11,13,0.458,5.09,31,29,1,0,0,0,155.2,157,94,88,26,55,0,178,9,0,4,665,83,4.37,1.362,9.1,1.5,3.2,10.3,3.24,
62,Kyle Freeland*,30,COL,NL,1.6,6,14,0.3,5.03,29,29,0,0,0,0,155.2,187,96,87,29,42,0,94,1,0,2,677,99,5.3,1.471,10.8,1.7,2.4,5.4,2.24,
63,Jameson Taillon,31,CHC,NL,0,8,10,0.444,4.84,30,29,1,0,0,1,154.1,156,96,83,27,41,0,140,5,0,2,655,88,4.61,1.276,9.1,1.6,2.4,8.2,3.41,
64,Michael Lorenzen,31,2TM,2LG,2,9,9,0.5,4.18,29,25,2,1,1,1,153,138,76,71,20,47,0,111,2,1,4,624,104,4.46,1.209,8.1,1.2,2.8,6.5,2.36,AS
65,Michael Lorenzen,31,DET,AL,2.1,5,7,0.417,3.58,18,18,0,0,0,0,105.2,89,44,42,11,27,0,83,2,1,4,418,121,3.86,1.098,7.6,0.9,2.3,7.1,3.07,
66,Michael Lorenzen,31,PHI,NL,-0.2,4,2,0.667,5.51,11,7,2,1,1,1,47.1,49,32,29,9,20,0,28,0,0,0,206,78,5.81,1.458,9.3,1.7,3.8,5.3,1.4,
67,Eduardo Rodríguez*,30,DET,AL,3.4,13,9,0.591,3.3,26,26,0,0,0,0,152.2,128,59,56,15,48,0,143,3,0,3,621,131,3.66,1.153,7.5,0.9,2.8,8.4,2.98,
68,Max Scherzer,38,2TM,2LG,3.2,13,6,0.684,3.77,27,27,0,0,0,0,152.2,126,65,64,28,45,0,174,4,0,2,621,112,4.32,1.12,7.4,1.7,2.7,10.3,3.87,
69,Max Scherzer,38,NYM,NL,2.1,9,4,0.692,4.01,19,19,0,0,0,0,107.2,98,49,48,23,30,0,121,3,0,1,444,104,4.7,1.189,8.2,1.9,2.5,10.1,4.03,
70,Max Scherzer,38,TEX,AL,1.1,4,2,0.667,3.2,8,8,0,0,0,0,45,28,16,16,5,15,0,53,1,0,1,177,135,3.41,0.956,5.6,1,3,10.6,3.53,
71,Alex Cobb,35,SFG,NL,2.5,7,7,0.5,3.87,28,28,0,2,1,0,151.1,163,69,65,19,37,0,131,6,5,7,646,108,4.01,1.322,9.7,1.1,2.2,7.8,3.54,AS
72,Reid Detmers*,23,LAA,AL,2.2,4,10,0.286,4.48,28,28,0,0,0,0,148.2,141,81,74,19,60,2,168,13,0,7,644,100,4.13,1.352,8.5,1.2,3.6,10.2,2.8,
73,Andrew Heaney*,32,TEX,AL,1.3,10,6,0.625,4.15,34,28,1,0,0,0,147.1,143,74,68,23,60,0,151,10,0,3,641,103,4.66,1.378,8.7,1.4,3.7,9.2,2.52,
74,Seth Lugo,33,SDP,NL,1.9,8,7,0.533,3.57,26,26,0,0,0,0,146.1,140,62,58,19,36,0,140,3,0,3,604,118,3.83,1.203,8.6,1.2,2.2,8.6,3.89,
75,Rich Hill*,43,2TM,NL,-0.6,8,14,0.364,5.41,32,27,3,0,0,0,146.1,165,98,88,23,58,0,129,7,1,2,660,82,4.87,1.524,10.1,1.4,3.6,7.9,2.22,
76,Rich Hill*,43,PIT,NL,0.5,7,10,0.412,4.76,22,22,0,0,0,0,119,129,70,63,15,47,0,104,4,1,1,530,94,4.43,1.479,9.8,1.1,3.6,7.9,2.21,
77,Rich Hill*,43,SDP,NL,-1.1,1,4,0.2,8.23,10,5,3,0,0,0,27.1,36,28,25,8,11,0,25,3,0,1,130,52,6.77,1.72,11.9,2.6,3.6,8.2,2.27,
78,Graham Ashcraft,25,CIN,NL,2.4,7,9,0.438,4.76,26,26,0,0,0,0,145.2,148,78,77,23,52,0,111,10,1,3,624,98,5.06,1.373,9.1,1.4,3.2,6.9,2.13,
79,Patrick Sandoval*,26,LAA,AL,0.4,7,13,0.35,4.11,28,28,0,0,0,0,144.2,145,89,66,12,74,2,128,4,0,5,652,109,4.18,1.514,9,0.7,4.6,8,1.73,
